5.760000000000000000e+02,4.680000000000000000e+02,6.820000000000000000e+02,8.790000000000000000e+02,8.400000000000000000e+02
5.880000000000000000e+02,2.310000000000000000e+02,5.000000000000000000e+01,7.980000000000000000e+02,1.340000000000000000e+02
9.840000000000000000e+02,2.700000000000000000e+01,8.540000000000000000e+02,7.340000000000000000e+02,7.420000000000000000e+02
5.120000000000000000e+02,1.800000000000000000e+02,9.110000000000000000e+02,3.660000000000000000e+02,8.730000000000000000e+02
8.400000000000000000e+01,6.710000000000000000e+02,3.180000000000000000e+02,1.470000000000000000e+02,4.760000000000000000e+02
9.740000000000000000e+02,5.340000000000000000e+02,5.300000000000000000e+01,1.910000000000000000e+02,9.660000000000000000e+02
2.200000000000000000e+02,8.310000000000000000e+02,6.000000000000000000e+01,3.960000000000000000e+02,2.450000000000000000e+02
9.240000000000000000e+02,6.320000000000000000e+02,6.350000000000000000e+02,8.880000000000000000e+02,9.260000000000000000e+02
6.510000000000000000e+02,8.490000000000000000e+02,8.380000000000000000e+02,8.400000000000000000e+02,9.190000000000000000e+02
8.830000000000000000e+02,5.650000000000000000e+02,8.640000000000000000e+02,4.870000000000000000e+02,1.010000000000000000e+02
9.030000000000000000e+02,5.560000000000000000e+02,1.340000000000000000e+02,5.140000000000000000e+02,9.000000000000000000e+01
3.100000000000000000e+01,8.130000000000000000e+02,5.920000000000000000e+02,7.020000000000000000e+02,8.280000000000000000e+02
2.860000000000000000e+02,6.340000000000000000e+02,6.880000000000000000e+02,6.980000000000000000e+02,8.250000000000000000e+02
1.030000000000000000e+02,4.790000000000000000e+02,3.000000000000000000e+01,5.040000000000000000e+02,2.280000000000000000e+02
7.470000000000000000e+02,5.800000000000000000e+01,5.250000000000000000e+02,2.130000000000000000e+02,6.200000000000000000e+01
6.160000000000000000e+02,7.230000000000000000e+02,8.980000000000000000e+02,3.710000000000000000e+02,3.090000000000000000e+02
2.720000000000000000e+02,8.470000000000000000e+02,8.710000000000000000e+02,4.160000000000000000e+02,9.150000000000000000e+02
7.330000000000000000e+02,4.750000000000000000e+02,9.170000000000000000e+02,6.180000000000000000e+02,2.220000000000000000e+02
3.740000000000000000e+02,1.310000000000000000e+02,2.280000000000000000e+02,7.060000000000000000e+02,5.030000000000000000e+02
1.200000000000000000e+01,4.530000000000000000e+02,7.880000000000000000e+02,2.910000000000000000e+02,6.110000000000000000e+02
