684,988
132,170
723,258
110,397
117,74
641,684
329,402
654,983
749,402
583,621
740,154
235,381
735,161
971,758
867,871
86,351
366,686
369,294
685,531
598,832
789,597
368,335
206,299
87,453
772,423
206,360
388,558
552,743
229,424
642,429
484,125
152,24
782,290
101,318
294,654
237,957
531,936
91,458
405,240
105,764
112,759
784,741
292,744
604,106
964,682
432,463
695,212
758,99
433,824
655,175
110,164
934,666
187,894
266,517
798,703
488,154
769,953
396,541
273,680
37,37
673,809
430,749
452,120
610,525
59,326
316,546
773,399
696,415
125,181
130,255
92,21
8,924
423,654
656,933
723,164
531,921
109,795
632,577
126,440
134,258
99,752
142,229
168,64
196,767
317,671
316,715
218,642
251,419
893,391
703,816
556,317
184,815
212,789
77,852
914,506
707,636
558,951
313,444
166,60
622,867
