23,54,45,84,21,30,57,72,36,61
70,18,65,47,44,77,90,38,59,99
16,76,87,74,17,26,33,81,11,77
63,37,90,53,85,20,55,36,40,52
72,10,36,45,36,70,27,50,34,84
15,23,46,68,56,99,89,78,39,79
46,24,64,64,62,82,40,17,17,36
90,17,39,28,13,52,83,35,42,98
71,99,61,63,62,63,33,76,17,37
37,92,66,98,15,81,89,88,45,54
99,13,44,23,51,75,55,44,71,48
22,65,14,69,41,95,59,41,62,46
81,83,88,96,24,15,96,13,82,76
77,63,46,63,49,94,38,14,66,15
39,14,48,46,40,58,95,87,55,76
73,90,18,94,57,67,53,43,23,23
70,41,67,76,65,96,98,45,83,16
83,25,41,70,42,76,59,15,39,87
52,58,58,15,65,17,81,32,36,63
65,74,46,63,14,50,95,88,17,35
15,87,68,79,46,47,57,43,20,65
91,57,91,89,47,83,86,91,53,23
69,27,52,42,20,56,76,75,62,60
32,34,30,40,71,71,28,20,63,16
76,27,25,12,75,37,88,75,48,81
21,33,25,26,46,60,21,80,29,28
32,99,11,64,77,44,53,66,48,82
25,60,61,44,86,59,46,18,92,73
64,75,52,94,23,41,36,97,11,73
31,19,55,51,36,80,78,24,85,49
51,51,17,98,35,14,14,33,24,21
34,11,77,77,72,74,45,62,60,62
38,16,70,44,96,44,72,38,24,46
59,49,82,66,60,70,92,33,47,82
64,74,63,18,23,47,67,95,63,13
70,58,99,44,29,81,54,74,65,80
88,49,88,89,91,28,21,29,64,20
44,15,59,69,93,44,40,67,97,63
69,19,64,76,20,38,23,37,40,83
22,52,72,66,26,89,17,42,25,52
83,99,44,62,10,56,24,66,67,85
25,40,66,73,83,14,86,47,57,89
96,80,67,62,87,65,24,15,32,36
62,51,63,24,97,55,73,17,25,29
49,17,80,17,24,75,99,88,95,63
92,41,83,84,73,74,82,53,36,50
68,62,70,77,44,41,75,52,65,49
36,68,92,44,19,77,94,90,26,67
86,34,64,48,84,97,97,65,36,21
68,20,55,48,17,21,43,91,38,83
43,52,76,42,26,35,63,31,74,93
81,32,26,38,78,57,79,11,88,74
84,17,63,64,31,66,98,82,37,97
62,32,93,64,37,41,25,62,31,28
41,67,17,15,51,71,92,60,94,42
41,80,28,45,40,10,43,26,66,48
16,67,38,97,89,32,23,82,69,68
18,88,78,56,97,52,74,50,63,58
45,20,63,55,50,15,34,76,40,62
12,15,53,16,96,11,11,52,79,92
78,10,46,78,90,46,98,71,74,53
78,61,46,15,40,55,17,49,35,78
38,76,37,34,24,93,38,53,94,58
42,89,24,40,83,61,47,22,54,56
84,88,43,23,56,17,59,83,90,74
30,24,35,30,74,63,92,98,49,19
10,15,24,65,17,92,89,18,47,22
33,37,41,65,68,37,89,52,39,68
72,74,61,17,43,61,34,18,15,59
38,12,50,90,92,48,33,45,59,42
78,13,28,66,77,44,63,15,37,82
62,24,64,16,10,55,94,38,92,83
12,88,28,39,84,13,52,34,96,57
20,98,47,37,24,39,73,60,55,21
99,86,90,79,78,67,36,53,51,17
32,21,75,64,89,58,87,87,81,66
80,62,57,88,40,33,21,44,49,32
82,86,85,78,55,43,61,60,33,52
68,25,90,14,56,94,53,63,84,57
64,44,74,35,61,95,72,29,82,21
10,14,96,38,80,58,37,51,74,42
13,92,13,82,82,50,29,23,93,24
46,63,77,19,31,14,87,19,83,12
10,89,27,36,24,46,16,76,36,78
99,65,13,24,41,55,64,50,69,57
80,61,12,27,69,55,73,49,92,88
59,37,27,20,53,13,85,89,56,89
85,95,91,69,64,49,83,26,14,48
60,82,90,34,25,72,16,67,21,37
24,13,14,33,97,59,86,19,56,39
69,56,94,66,25,75,52,82,14,13
55,58,15,43,50,39,30,29,62,92
94,28,14,64,72,64,76,31,76,38
47,59,85,14,95,11,76,97,78,42
19,63,64,33,41,61,94,85,94,44
44,20,83,72,96,48,88,24,65,49
46,44,40,41,62,97,29,73,57,71
16,42,84,55,67,89,61,45,69,93
71,60,68,93,42,56,28,41,95,49
80,68,85,99,49,73,10,83,59,82
